customer_id,recency,frequency,monetary,avg_order_value,spend_cv,category_entropy,n_categories,trend_score,avg_purchase_gap,gap_std,persona
32,23,22,6531.1,296.87,0.2819,1.4444,5,888.614,3.67,8.31,premium
33,4,24,7366.63,306.94,0.2048,1.5236,5,2585.01,2.7,3.62,premium
34,68,20,6068.95,303.45,0.2606,0.6881,2,1222.157,5.32,9.3,premium
35,13,29,8090.31,278.98,0.2853,1.6657,6,0.0,1.11,1.34,premium
36,24,15,3349.13,223.28,0.308,1.3229,4,240.529,6.36,7.16,premium
37,31,36,10146.72,281.85,0.28,1.5577,5,0.0,1.37,2.26,premium
38,29,33,8957.08,271.43,0.3103,1.5313,5,285.065,1.69,2.61,premium
39,17,27,7283.47,269.76,0.2314,1.5917,5,0.0,1.58,1.77,premium
40,19,16,4128.15,258.01,0.2709,1.5438,5,401.969,6.93,8.0,premium
41,38,32,9176.73,286.77,0.2234,1.6738,6,0.0,1.39,1.8,premium
42,6,24,6242.89,260.12,0.3493,1.5066,5,0.0,1.96,2.2,premium
43,22,20,5642.74,282.14,0.2784,1.0805,3,66.54,3.63,4.03,premium
44,4,22,6109.28,277.69,0.261,1.5827,5,0.0,1.81,2.73,premium
45,17,13,4013.85,308.76,0.2355,1.072,4,164.795,7.83,5.91,premium
46,34,29,8264.48,284.98,0.2572,1.5905,5,0.0,1.64,2.21,premium
47,3,22,6063.58,275.62,0.3003,1.0966,3,0.0,1.52,2.16,premium
48,23,27,7774.24,287.93,0.2593,1.5634,5,1634.515,1.81,2.68,premium
49,2,26,6619.2,254.58,0.3297,1.5749,5,2534.885,2.56,3.74,premium
50,49,31,7873.35,253.98,0.3015,1.2658,4,0.0,1.1,1.63,premium
51,14,28,7429.43,265.34,0.2849,0.67,2,0.0,1.52,1.67,premium
52,17,29,7364.36,253.94,0.3356,1.2849,4,2379.97,1.64,2.64,premium
53,22,22,6098.59,277.21,0.311,1.3306,4,665.005,3.48,4.41,premium
54,20,22,6555.19,297.96,0.2676,1.3654,4,784.301,4.1,10.01,premium
55,4,18,5031.72,279.54,0.2552,1.259,4,1186.274,6.29,16.13,premium
56,8,18,4684.2,260.23,0.3821,1.0986,3,0.0,2.88,4.62,premium
57,15,24,6831.9,284.66,0.2625,1.2627,4,0.0,1.83,2.21,premium
58,14,14,4218.48,301.32,0.4451,1.6731,6,721.39,3.62,2.81,premium
59,2,28,7820.58,279.31,0.3505,1.2588,4,0.0,1.48,2.75,premium
60,2,29,7410.32,255.53,0.2807,0.998,3,0.0,1.07,2.05,premium
61,3,18,5003.75,277.99,0.2519,1.3015,4,1564.16,3.65,4.21,premium
62,15,25,6974.17,278.97,0.2872,1.5933,5,1596.28,1.96,3.39,premium
63,17,18,4590.48,255.03,0.2644,1.399,5,736.18,2.88,2.83,premium
64,23,18,5080.72,282.26,0.3239,1.5051,5,154.37,3.71,3.79,premium
65,5,26,6725.69,258.68,0.3085,1.0382,3,0.0,1.88,3.15,premium
66,29,29,8105.52,279.5,0.2854,1.5494,5,965.34,1.46,3.94,premium
67,15,18,4642.14,257.9,0.3323,1.4594,5,0.0,2.59,3.02,premium
68,13,22,6231.21,283.24,0.2157,1.3017,4,1503.969,3.86,10.23,premium
69,18,23,6220.43,270.45,0.3281,1.5009,5,1543.25,3.05,6.81,premium
70,2,30,7551.37,251.71,0.3279,1.7254,6,3314.71,2.38,4.96,premium
71,26,12,3620.65,301.72,0.2951,1.0986,3,174.7107,14.36,20.69,premium
72,39,13,3710.97,285.46,0.2701,1.4181,5,387.333,7.75,9.83,premium
73,45,25,6245.4,249.82,0.3316,1.2653,4,0.0,1.67,2.39,premium
74,12,11,3266.59,296.96,0.155,1.4681,5,-31.375,5.8,5.2,premium
75,11,21,6451.69,307.22,0.2418,1.298,4,975.319,5.25,8.55,premium
76,17,19,5464.25,287.59,0.2668,0.6581,2,0.0,1.94,2.75,premium
77,30,27,7286.28,269.86,0.3049,1.5497,5,-655.315,2.12,3.44,premium
78,33,16,4577.5,286.09,0.259,1.6844,6,1037.032,6.73,15.93,premium
79,17,31,8548.6,275.76,0.357,1.5514,5,0.0,1.23,2.46,premium
80,21,19,5808.28,305.7,0.2881,1.6036,5,1252.77,3.56,5.73,premium
81,27,18,4684.83,260.27,0.2705,1.3801,4,263.703,3.88,3.16,premium
82,19,20,5180.58,259.03,0.3568,1.7228,6,1625.62,3.21,6.33,premium
83,9,32,9166.51,286.45,0.2626,1.3345,4,0.0,1.06,1.46,premium
84,17,21,6365.97,303.14,0.2316,1.0918,3,2608.015,3.1,8.79,premium
85,17,18,5024.63,279.15,0.2465,1.5418,5,1420.375,3.53,4.85,premium
86,25,25,7127.23,285.09,0.2903,1.6014,5,100.845,1.88,2.07,premium
87,4,33,10117.56,306.59,0.2104,1.5861,5,4137.645,2.59,7.12,premium
88,64,24,6922.15,288.42,0.2393,1.5236,5,0.0,2.39,4.77,premium
89,10,31,9534.89,307.58,0.289,1.5568,5,0.0,0.87,1.2,premium
90,18,24,6054.71,252.28,0.2978,1.2926,4,725.296,5.48,15.79,premium
91,7,22,5405.15,245.69,0.327,1.4399,5,1593.945,2.9,3.53,premium
92,6,29,8177.56,281.98,0.2838,1.2539,4,0.0,1.68,3.06,premium
93,31,18,5130.33,285.02,0.262,1.2488,4,0.0,3.47,4.37,premium
94,22,22,5279.94,240.0,0.3031,1.3448,4,691.906,4.52,10.87,premium
95,19,23,6964.42,302.8,0.3031,1.0967,3,1780.845,2.05,2.46,premium
96,15,19,5233.23,275.43,0.2991,1.2218,4,1229.215,3.0,4.21,premium
97,26,33,8993.54,272.53,0.3037,1.5779,5,2176.145,1.12,1.68,premium
98,30,22,5855.83,266.17,0.351,1.3654,4,-3.08,1.48,2.46,premium
99,3,33,9076.61,275.05,0.3322,1.5492,5,4276.525,2.34,8.85,premium
100,14,28,7560.57,270.02,0.2325,1.2676,4,2559.08,2.19,4.22,premium
101,7,16,4955.63,309.73,0.3039,1.4898,5,1304.085,5.53,6.56,premium
102,30,27,7502.54,277.87,0.2284,1.842,7,0.0,1.15,1.26,premium
103,17,26,6952.52,267.4,0.3062,1.3572,4,0.0,1.6,1.78,premium
104,2,30,8754.8,291.83,0.2895,1.0438,3,0.0,1.52,2.69,premium
105,23,30,8709.26,290.31,0.2659,1.3672,4,1966.505,1.69,3.55,premium
106,7,24,6532.09,272.17,0.263,1.2808,4,0.0,2.22,3.22,premium
107,32,27,8476.34,313.94,0.2686,1.4758,5,0.0,1.81,2.5,premium
108,14,21,6106.06,290.76,0.2355,1.3558,4,0.0,1.9,2.4,premium
109,30,23,7160.31,311.32,0.2277,1.5089,5,258.93,2.5,5.39,premium
110,3,31,8532.2,275.23,0.2641,1.2363,4,0.0,1.43,2.1,premium
111,2,20,5924.15,296.21,0.2551,1.415,5,0.0,3.0,2.87,premium
112,37,15,4195.32,279.69,0.2598,1.0606,3,439.453,8.5,11.63,premium
113,34,21,6546.45,311.74,0.2581,1.5432,5,2473.155,4.25,9.69,premium
114,2,23,6678.32,290.36,0.3052,1.4516,5,0.0,2.09,4.43,premium
115,9,25,6673.54,266.94,0.2738,1.2801,4,0.0,1.62,2.68,premium
116,23,22,6177.59,280.8,0.2265,1.3306,4,1002.04,2.71,5.7,premium
117,14,19,6316.83,332.46,0.2665,1.6036,5,1182.01,4.17,5.1,premium
118,27,19,6292.54,331.19,0.2997,1.5485,5,174.655,3.28,4.78,premium
119,61,38,10805.52,284.36,0.2365,1.3793,4,0.0,1.24,2.69,premium
120,53,30,8258.37,275.28,0.3233,1.8585,7,0.0,1.31,2.29,premium
121,70,10,659.78,65.98,0.6585,0.0,1,72.745,6.44,6.04,regular
122,68,10,757.16,75.72,0.3921,0.5004,2,138.295,9.0,14.65,regular
123,32,7,629.42,89.92,0.2459,0.0,1,159.525,10.83,5.74,regular
124,17,13,1058.63,81.43,0.3804,1.0123,3,65.965,6.5,5.52,regular
125,26,10,1004.19,100.42,0.348,1.0297,3,29.8642,25.89,51.93,regular
126,85,12,945.99,78.83,0.3649,0.0,1,-27.295,5.73,4.58,regular
127,50,10,820.39,82.04,0.367,0.6109,2,28.4755,26.56,35.35,regular
128,4,13,826.59,63.58,0.5082,0.9251,3,105.335,10.58,22.66,regular
129,67,10,904.23,90.42,0.34,1.0889,3,0.0,4.89,2.57,regular
130,67,7,562.17,80.31,0.4066,0.4101,2,88.801,14.83,13.79,regular
131,84,13,1129.18,86.86,0.4043,0.0,1,200.502,6.75,9.87,regular
132,55,5,449.49,89.9,0.2247,0.673,2,3.0327,72.0,47.12,regular
133,7,7,477.15,68.16,0.4445,1.0042,3,37.796,23.0,32.09,regular
134,3,14,992.42,70.89,0.539,1.0934,3,290.465,5.69,8.43,regular
135,30,6,442.86,73.81,0.1956,0.4506,2,18.88,23.8,25.87,regular
136,95,6,452.67,75.45,0.621,0.6931,2,47.237,18.0,14.65,regular
137,72,13,1204.16,92.63,0.2881,1.3061,4,127.422,9.83,12.83,regular
138,148,8,777.44,97.18,0.1657,0.9743,3,4.156,16.43,16.03,regular
139,61,14,1191.62,85.12,0.3604,0.0,1,138.015,10.38,11.84,regular
140,43,15,1323.24,88.22,0.2729,1.0852,3,345.7,5.5,9.94,regular
141,37,9,766.39,85.15,0.2811,0.9369,3,48.417,18.25,13.99,regular
142,86,10,633.9,63.39,0.4785,0.6931,2,9.3171,15.33,20.15,regular
143,68,8,767.81,95.98,0.1983,0.9003,3,33.769,16.29,18.29,regular
144,73,9,782.81,86.98,0.4489,0.9369,3,106.979,12.38,18.88,regular
145,25,6,543.92,90.65,0.4064,0.6931,2,5.3635,54.0,54.61,regular
146,68,9,758.35,84.26,0.5131,1.0609,3,57.182,17.88,36.08,regular
147,121,10,727.46,72.75,0.4761,0.673,2,-1.762,9.67,8.89,regular
148,29,8,634.96,79.37,0.4426,0.6616,2,-51.62,8.86,4.45,regular
149,32,12,1219.26,101.6,0.2791,1.0114,3,207.838,10.27,12.8,regular
150,101,12,1013.92,84.49,0.3188,0.6365,2,-8.96,7.09,6.16,regular
151,45,12,1028.79,85.73,0.2265,1.0282,3,60.1111,13.0,15.29,regular
152,19,14,1253.01,89.5,0.4001,0.6829,2,97.045,3.92,3.15,regular
153,48,10,734.6,73.46,0.4423,1.2799,4,55.135,7.67,7.87,regular
154,100,5,316.9,63.38,0.1545,1.0549,3,10.728,35.75,38.08,regular
155,112,9,628.05,69.78,0.3525,0.0,1,17.5084,35.5,43.49,regular
156,12,7,618.72,88.39,0.3597,0.5983,2,24.0093,31.5,36.23,regular
157,46,9,646.6,71.84,0.5877,1.0986,3,40.335,9.0,10.39,regular
158,97,10,869.38,86.94,0.3254,0.0,1,56.0817,19.22,21.75,regular
159,25,7,699.49,99.93,0.3727,1.079,3,-32.57,10.17,4.67,regular
160,92,7,598.24,85.46,0.3339,0.6829,2,30.5836,39.5,58.55,regular
161,31,12,949.22,79.1,0.2912,0.9596,3,119.646,9.09,9.98,regular
162,72,12,929.13,77.43,0.4884,1.0397,3,148.67,10.82,17.89,regular
163,75,14,1167.93,83.42,0.2905,0.0,1,135.285,9.54,16.83,regular
164,41,11,922.39,83.85,0.29,0.6555,2,182.025,5.7,5.42,regular
165,100,7,468.24,66.89,0.5132,0.4101,2,-30.125,13.33,5.32,regular
166,2,10,977.08,97.71,0.282,0.9433,3,0.0,4.89,5.46,regular
167,99,6,626.29,104.38,0.2729,0.6365,2,0.0,7.6,5.32,regular
168,60,13,1155.96,88.92,0.4241,1.3061,4,90.69,3.67,3.17,regular
169,91,9,716.7,79.63,0.4851,0.687,2,22.218,15.12,19.77,regular
170,77,12,898.41,74.87,0.3471,0.6931,2,7.23,6.45,6.2,regular
171,87,8,627.98,78.5,0.3676,1.2555,4,-13.939,16.57,13.88,regular
172,86,13,924.62,71.12,0.3746,1.0579,3,62.9629,11.58,23.59,regular
173,37,5,501.66,100.33,0.3181,0.673,2,28.668,22.0,22.11,regular
174,25,12,1014.38,84.53,0.3568,0.9184,3,58.621,9.27,14.87,regular
175,59,8,771.25,96.41,0.258,0.7356,3,34.185,13.43,15.22,regular
176,69,11,863.12,78.47,0.3827,1.0671,3,42.864,14.1,14.18,regular
177,42,6,520.53,86.76,0.4067,0.8676,3,157.16,10.0,7.48,regular
178,89,11,731.33,66.48,0.5607,0.6555,2,-3.757,8.1,7.36,regular
179,55,7,589.2,84.17,0.3942,0.6829,2,62.833,16.5,17.46,regular
180,61,9,633.08,70.34,0.4449,0.687,2,94.38,13.25,12.54,regular
181,10,9,782.69,86.97,0.2813,0.5297,2,86.082,15.62,25.76,regular
182,57,11,1044.72,94.97,0.3088,0.0,1,38.726,10.0,16.17,regular
183,72,7,554.05,79.15,0.4316,0.9557,3,45.26,19.5,19.25,regular
184,77,12,1162.7,96.89,0.4138,1.2861,4,-29.088,9.64,11.06,regular
185,98,9,691.91,76.88,0.4496,0.995,3,129.87,7.38,6.82,regular
186,55,15,1166.85,77.79,0.404,0.6365,2,73.787,5.86,5.17,regular
187,70,14,1151.58,82.26,0.2978,1.0346,3,0.0,2.62,2.26,regular
188,91,9,787.64,87.52,0.2535,0.0,1,25.743,15.12,18.09,regular
189,54,7,626.2,89.46,0.3697,0.9557,3,28.8496,30.17,39.3,regular
190,101,12,913.18,76.1,0.3791,0.9596,3,172.912,8.18,13.63,regular
191,109,7,598.37,85.48,0.2806,0.6829,2,-7.604,22.17,32.65,regular
192,31,17,1583.33,93.14,0.269,1.3197,4,0.0,2.5,3.46,regular
193,53,10,926.29,92.63,0.2537,1.0297,3,51.9289,14.89,28.21,regular
194,96,8,660.26,82.53,0.2378,1.0397,3,85.666,15.0,14.38,regular
195,71,8,782.45,97.81,0.2188,0.9003,3,-25.126,19.86,11.74,regular
196,2,14,1149.91,82.14,0.4045,0.0,1,342.76,6.38,9.25,regular
197,33,9,818.73,90.97,0.3062,0.6365,2,0.0,6.5,6.19,regular
198,28,7,570.34,81.48,0.2113,0.6829,2,-2.6,9.83,15.38,regular
199,31,13,1209.97,93.07,0.276,0.6902,2,533.945,5.75,7.85,regular
200,58,11,923.55,83.96,0.2922,0.689,2,64.474,11.9,17.17,regular
201,77,12,1096.95,91.41,0.403,1.0397,3,132.721,9.45,8.0,regular
202,50,7,620.06,88.58,0.3379,1.277,4,29.9168,31.17,43.88,regular
203,48,9,934.28,103.81,0.1676,1.0609,3,63.8396,22.38,47.32,regular
204,121,9,750.93,83.44,0.5448,1.0609,3,80.591,8.62,8.03,regular
205,54,11,851.14,77.38,0.4377,1.0362,3,73.984,8.9,12.15,regular
206,3,9,843.39,93.71,0.26,0.6365,2,0.0,7.12,6.47,regular
207,70,10,786.44,78.64,0.4621,0.6931,2,49.049,13.0,12.85,regular
208,27,9,673.22,74.8,0.3395,1.3108,4,22.0875,22.88,29.78,regular
209,60,11,853.59,77.6,0.3437,0.9165,3,-129.97,5.2,5.49,regular
210,20,10,912.03,91.2,0.2306,0.673,2,20.061,9.56,10.21,regular
211,106,4,396.6,99.15,0.2128,0.0,1,0.8548,110.33,102.67,regular
212,57,10,851.67,85.17,0.4989,0.6931,2,28.7934,17.11,17.19,regular
213,58,6,490.07,81.68,0.3969,0.6931,2,9.4576,53.8,80.11,regular
214,70,6,541.57,90.26,0.2766,0.6365,2,85.621,17.6,23.63,regular
215,58,6,473.98,79.0,0.3943,0.0,1,5.5512,53.8,57.16,regular
216,25,7,509.3,72.76,0.3277,0.0,1,-4.024,18.67,16.9,regular
217,109,8,644.71,80.59,0.4944,1.3209,4,-69.965,7.86,9.23,regular
218,51,12,1128.3,94.02,0.3305,1.3086,4,15.65,4.27,3.32,regular
219,28,13,917.32,70.56,0.3917,1.0734,3,30.948,5.75,6.31,regular
220,97,7,590.37,84.34,0.3633,0.9557,3,99.533,17.33,20.93,regular
221,52,10,898.88,89.89,0.328,1.0549,3,35.325,6.22,7.82,regular
222,77,11,850.64,77.33,0.249,0.689,2,156.762,7.9,11.7,regular
223,41,11,927.1,84.28,0.2878,1.373,4,198.905,5.2,6.21,regular
224,56,17,1367.3,80.43,0.5145,1.4788,5,131.759,7.19,11.61,regular
225,30,9,972.89,108.1,0.2738,0.0,1,54.9083,15.38,23.18,regular
226,106,7,616.09,88.01,0.5026,0.9557,3,97.135,11.33,9.2,regular
227,65,13,1106.5,85.12,0.2486,0.6902,2,441.575,4.92,5.79,regular
228,17,14,1280.45,91.46,0.2434,0.6829,2,156.915,5.0,5.55,regular
229,84,8,648.9,81.11,0.4485,0.6616,2,79.608,12.29,6.65,regular
230,67,11,892.39,81.13,0.4459,0.9949,3,297.235,8.0,13.47,regular
231,31,11,976.35,88.76,0.36,1.0901,3,143.497,12.0,15.11,regular
232,70,5,360.62,72.12,0.3938,0.0,1,19.29,14.75,20.27,regular
233,56,15,1323.37,88.22,0.3792,0.673,2,-13.285,4.29,5.31,regular
234,95,11,815.15,74.1,0.3825,0.6555,2,172.227,10.9,20.32,regular
235,62,6,354.01,59.0,0.4675,0.6931,2,40.216,30.0,33.13,regular
236,62,13,979.48,75.34,0.344,0.6902,2,192.588,9.67,18.53,regular
237,52,7,618.8,88.4,0.2232,1.0042,3,3.005,10.33,9.63,regular
238,84,12,998.25,83.19,0.3232,0.0,1,51.569,7.64,4.41,regular
239,41,7,729.08,104.15,0.2772,0.9557,3,-2.747,19.5,19.88,regular
240,54,11,953.62,86.69,0.3491,0.6555,2,70.31,7.7,8.15,regular
241,79,15,1113.46,74.23,0.4214,1.0438,3,290.435,3.79,5.48,regular
242,2,9,684.9,76.1,0.3703,1.0609,3,38.855,24.12,36.5,regular
243,97,12,794.72,66.23,0.4326,0.0,1,167.135,7.09,7.62,regular
244,89,9,864.81,96.09,0.3436,0.0,1,27.847,9.38,10.38,regular
245,163,5,418.95,83.79,0.4545,0.0,1,-0.347,56.25,57.38,regular
246,104,3,338.07,112.69,0.233,0.0,1,2.8587,138.5,178.9,regular
247,61,5,411.17,82.23,0.2936,1.0549,3,69.401,24.75,27.15,regular
248,154,8,595.44,74.43,0.4986,1.0822,3,0.0,4.0,2.08,regular
249,22,8,483.34,60.42,0.7382,0.9743,3,2.1057,39.0,55.25,regular
250,96,7,606.39,86.63,0.2435,1.277,4,26.8307,31.83,42.58,regular
251,39,2,169.73,84.86,0.1884,0.6931,2,0.0,16.0,0.0,regular
252,69,9,771.95,85.77,0.3208,1.0609,3,96.076,15.25,21.93,regular
253,25,11,903.77,82.16,0.3167,0.586,2,-28.409,8.6,10.2,regular
254,26,10,885.01,88.5,0.356,1.0297,3,17.072,11.89,12.84,regular
255,79,8,759.89,94.99,0.4606,0.9743,3,90.005,11.71,11.04,regular
256,94,8,859.12,107.39,0.2789,1.0822,3,62.946,16.71,11.15,regular
257,52,14,1148.9,82.06,0.3191,1.0609,3,126.822,6.69,9.58,regular
258,69,14,1145.25,81.8,0.2095,1.2326,4,0.0,3.62,3.62,regular
259,23,12,1005.28,83.77,0.3167,1.1988,4,153.1,5.45,9.05,regular
260,64,11,957.85,87.08,0.2882,0.9165,3,229.505,6.6,6.57,regular
261,20,12,949.09,79.09,0.4681,0.9596,3,169.649,7.55,13.12,regular
262,88,12,1021.92,85.16,0.312,0.5623,2,-40.292,8.0,8.47,regular
263,28,15,1363.67,90.91,0.3388,0.6909,2,-251.575,4.5,3.32,regular
264,36,13,1142.77,87.91,0.3851,0.6902,2,254.585,6.75,8.62,regular
265,60,8,565.9,70.74,0.2738,1.0397,3,-3.586,10.86,7.31,regular
266,88,10,666.7,66.67,0.3271,0.673,2,26.306,8.78,7.19,regular
267,40,11,907.95,82.54,0.3586,0.689,2,30.801,9.0,6.06,regular
268,55,14,872.73,62.34,0.3982,0.0,1,134.81,3.46,4.88,regular
269,62,12,894.21,74.52,0.3276,0.6792,2,41.1353,25.09,64.46,regular
270,27,11,882.53,80.23,0.4966,0.689,2,32.988,9.8,10.73,regular
271,43,15,1251.15,83.41,0.3932,0.5799,2,188.417,5.71,6.4,regular
272,49,9,827.97,92.0,0.4125,0.6365,2,22.7463,26.12,31.06,regular
273,62,14,1295.45,92.53,0.3155,1.3337,4,0.0,4.15,5.08,regular
274,4,14,1241.78,88.7,0.272,0.5196,2,267.628,8.46,13.38,regular
275,25,8,567.46,70.93,0.3022,0.9003,3,0.0,4.86,4.18,regular
276,50,10,927.81,92.78,0.4339,0.673,2,103.091,10.11,7.46,regular
277,109,10,822.33,82.23,0.3028,0.0,1,43.766,14.44,13.83,regular
278,58,15,1289.8,85.99,0.4276,0.5799,2,76.725,4.14,6.04,regular
279,84,7,620.66,88.67,0.4267,0.9557,3,-137.95,10.33,8.57,regular
280,11,7,470.81,67.26,0.4358,0.6829,2,15.695,18.67,13.23,regular
281,62,10,849.11,84.91,0.427,1.0889,3,315.23,6.67,8.4,regular
282,66,10,848.04,84.8,0.4751,0.0,1,67.984,11.22,9.31,regular
283,54,10,954.48,95.45,0.3695,0.673,2,30.4538,34.44,83.67,regular
284,81,12,1024.51,85.38,0.3397,0.8676,3,87.109,6.91,5.74,regular
285,93,15,1186.39,79.09,0.3317,0.673,2,0.0,2.5,2.59,regular
286,15,9,813.59,90.4,0.2389,0.5297,2,16.058,15.38,13.08,regular
287,85,14,1167.67,83.4,0.5027,1.171,4,39.261,6.31,5.11,regular
288,105,9,646.23,71.8,0.3291,0.6365,2,39.623,12.75,13.48,regular
289,83,10,945.66,94.57,0.3754,1.4708,5,77.674,9.44,9.62,regular
290,70,6,492.95,82.16,0.4951,0.6365,2,18.1809,31.6,39.55,regular
291,42,13,1090.38,83.88,0.3665,1.0734,3,197.904,8.33,18.02,regular
292,79,5,266.99,53.4,0.4099,0.0,1,11.5343,44.25,26.55,regular
293,66,10,930.72,93.07,0.3239,0.6109,2,88.1303,16.67,30.31,regular
294,108,11,916.35,83.3,0.3446,0.9165,3,273.93,4.7,7.33,regular
295,74,8,714.24,89.28,0.4181,0.0,1,37.8543,24.71,31.36,regular
296,32,3,179.91,59.97,0.4426,0.6365,2,4.9599,109.0,80.61,regular
297,16,7,696.87,99.55,0.2649,1.079,3,39.8214,26.17,33.89,regular
298,106,6,550.58,91.76,0.2475,0.6365,2,31.191,25.8,27.95,regular
299,44,14,1211.35,86.52,0.3824,0.0,1,95.992,9.46,10.24,regular
300,29,12,1049.69,87.47,0.3467,0.6365,2,-4.805,8.18,9.2,regular
301,55,10,808.47,80.85,0.4451,0.6109,2,50.293,13.22,17.56,regular
302,116,9,741.49,82.39,0.4769,0.687,2,62.545,10.25,12.65,regular
303,98,9,855.1,95.01,0.2755,0.687,2,264.66,8.62,6.07,regular
304,89,6,580.54,96.76,0.3693,0.6365,2,10.7874,27.4,26.89,regular
305,41,12,1089.4,90.78,0.3829,0.6792,2,243.815,6.91,10.4,regular
306,88,9,828.79,92.09,0.2984,0.687,2,0.0,4.0,5.78,regular
307,112,8,714.81,89.35,0.4259,0.6616,2,54.7049,19.86,27.15,regular
308,72,13,1127.49,86.73,0.4808,1.0734,3,0.0,3.58,4.23,regular
309,87,8,732.17,91.52,0.4148,1.0822,3,0.0,4.43,4.65,regular
310,73,12,1024.77,85.4,0.2723,1.0776,3,208.945,7.18,13.34,regular
311,39,6,446.6,74.43,0.3396,0.6931,2,28.6629,33.0,56.52,regular
312,111,10,910.57,91.06,0.3437,0.6109,2,-13.759,10.89,8.51,regular
313,70,12,1150.96,95.91,0.2778,0.8877,3,302.36,5.18,4.58,regular
314,67,9,748.75,83.19,0.4508,0.0,1,32.228,27.75,42.88,regular
315,42,7,666.91,95.27,0.411,1.0042,3,25.6192,40.17,63.34,regular
316,91,9,567.7,63.08,0.4498,0.8487,3,-9.208,9.25,5.8,regular
317,34,12,1043.27,86.94,0.3471,0.0,1,173.727,10.55,11.3,regular
318,82,13,1055.79,81.21,0.3931,0.6902,2,86.28,5.25,6.57,regular
319,104,10,941.06,94.11,0.475,0.673,2,45.971,12.67,13.48,regular
320,105,13,1123.3,86.41,0.3306,0.0,1,80.6566,13.0,19.37,regular
321,102,7,646.2,92.31,0.4541,0.6829,2,95.684,16.17,25.15,regular
322,39,15,1325.3,88.35,0.3234,1.0438,3,226.725,5.5,5.91,regular
323,91,10,784.13,78.41,0.3298,0.0,1,26.924,11.78,13.27,regular
324,102,5,330.45,66.09,0.4179,0.9503,3,12.8563,63.25,103.6,regular
325,141,3,274.49,91.5,0.5166,0.6365,2,34.045,35.5,9.19,regular
326,93,6,520.07,86.68,0.3468,1.0986,3,-42.765,16.4,13.97,regular
327,46,7,745.55,106.51,0.302,0.6829,2,55.423,20.5,22.46,regular
328,17,14,1024.84,73.2,0.4235,0.6931,2,122.281,8.62,13.54,regular
329,61,13,1145.42,88.11,0.3991,0.6902,2,166.765,7.42,4.7,regular
330,26,11,1069.19,97.2,0.2197,1.2637,4,39.7154,18.9,27.85,regular
331,50,8,779.19,97.4,0.4383,0.6616,2,120.127,13.0,19.52,regular
332,75,8,558.66,69.83,0.488,0.9003,3,50.655,11.0,16.21,regular
333,49,10,914.22,91.42,0.2042,1.2799,4,97.88,8.67,8.83,regular
334,59,12,948.55,79.05,0.4351,1.3086,4,-53.415,5.55,6.85,regular
